audio_path,transcription
audio_files\Train_Seg0001.wav,"I have a lot of friends staying in Ang Mo Kio. From my house, Ang Mo Kio is a little far. A smart friend of mine has a PhD and stays in Ang Mo Kio. Maybe I should move to Ang Mo Kio. Let's go to Ang Mo Kio!"
audio_files\Train_Seg0002.wav,Geylang is a food district in Singapore. There is a lot of good food in Geylang. Many people go to Geylang for good food. But got other things in Geylang also. Let's go to Geylang!
audio_files\Train_Seg0003.wav,My aunt stays in Bedok. There are good food in Bedok too. But then Bedok is very far. 45 minutes to go to Bedok. Don't want to go Bedok.
audio_files\Train_Seg0004.wav,There is also a gym in Bishan. The houses in Bishan very expensive. Bishan people very rich. I wish I stay in Bishan. Let's go to Bishan!
audio_files\Train_Seg0005.wav,Boon Lay is at the far corner of Singapore. Nothing there in Boon Lay. But some friends stay in Boon Lay. But I never want to go to Boon Lay. Because Boon Lay is very far!
audio_files\Train_Seg0006.wav,Bukit Merah is at the south of Singapore. Many foodcourts in Bukit Merah. A little far to go to Bukit Merah. But my good friend stays in Bukit Merah. Let's go to Bukit Merah!
audio_files\Train_Seg0007.wav,Bukit Panjang is my hometown. I live in Bukit Panjang. Bukit Panjang is in the West of Singapore. A lot of friends stay in Bukit Panjang. Let's go home to Bukit Panjang!
audio_files\Train_Seg0008.wav,Bukit Timah is where all the rich people live. All the houses in Bukit Timah are very expensive. Bukit Timah got a big hill. Highest point in Singapore is in Bukit Timah. Want to go Bukit Timah?
audio_files\Train_Seg0009.wav,Choa Chu Kang is where I used to work at. Last time everyday I go to Choa Chu Kang. There is Choa Chu Kang train and bus interchange. A lot of good food in Choa Chu Kang also. Want to go Choa Chu Kang?
audio_files\Train_Seg0010.wav,Hougang is also a faraway place. Only have some food in Hougang. There is a Hougang Shopping Centre. But Hougang is very dead. You want to go Hougang?
audio_files\Train_Seg0011.wav,Jurong got East and West. Almost need passport to go Jurong. But Jurong is very big. My office is in Jurong. Let's go Jurong!
audio_files\Train_Seg0012.wav,Kallang is a place i go to frequently. A lot of sports played in Kallang. The national stadium is also in Kallang. But Kallang has a lot of Thai pubs. I go to Kallang for that!
